Client Number	Status	Age	Gender	Dependent	Education	Marital_Status	Income Level	Card Category	Monthly Transaction	Total_Relationship_Count	Months Inactive 12M	Contacts Count 12M	Credit Limit	Total Revolving Bal	Total Open To Buy	Total Trans Amt	Zipcode	Tenure Year
720933408	Existing Customer	56	F	2	Uneducated	Unknown	Less than $40K	Blue	36	3	1	2	8438	1825	6613	4798	19176	4
720935658	Existing Customer	57	F	4	Post-Graduate	Single	Less than $40K	Blue	45	2	2	3	3059	1744	1315	7709	19175	1
720939933	Attrited Customer	46	F	4	Unknown	Single	Less than $40K	Blue	33	5	3	5	2879	0	2879	4684	18980	4
720941433	Attrited Customer	53	F	3	High School	Married	Less than $40K	Blue	41	3	3	2	1547	0	1547	2312	19320	1
720942333	Existing Customer	49	M	2	Unknown	Married	$40K - $60K	Blue	36	4	3	4	5137	0	5137	2043	17555	4
720943308	Existing Customer	47	M	3	Graduate	Single	$60K - $80K	Silver	36	1	1	2	30498	1990	28508	16202	19512	7
720949083	Existing Customer	44	F	3	Uneducated	Single	Less than $40K	Blue	33	5	3	5	3075	2517	558	3534	19518	3
720950283	Attrited Customer	47	M	3	High School	Married	$80K - $120K	Blue	34	3	3	3	21359	0	21359	2064	17309	9
720952608	Existing Customer	44	F	2	High School	Single	Less than $40K	Blue	29	6	1	2	2288	1505	783	4396	18901	10
720953658	Existing Customer	59	F	0	Graduate	Married	Less than $40K	Blue	36	5	3	4	5688	914	4774	1824	18902	9
720959058	Existing Customer	44	F	3	Unknown	Single	Unknown	Blue	33	5	3	1	8064	2417	5647	4412	18076	8
720961383	Attrited Customer	47	F	3	Uneducated	Single	Unknown	Blue	36	2	3	4	2952	0	2952	2907	18084	4
720962208	Attrited Customer	42	M	2	Post-Graduate	Married	$60K - $80K	Blue	27	2	2	2	2476	2250	226	4659	19255	8
720963258	Attrited Customer	52	F	3	College	Married	Less than $40K	Blue	40	3	2	3	3474	0	3474	2675	19490	9
720964683	Existing Customer	60	M	0	High School	Single	$40K - $60K	Blue	36	5	3	2	5420	0	5420	3477	19492	6
720967233	Existing Customer	43	F	2	Unknown	Married	Less than $40K	Blue	29	4	1	1	3327	2517	810	4901	19493	7
720968583	Existing Customer	52	F	2	Unknown	Married	Unknown	Blue	45	3	1	2	29551	2095	27456	3226	19494	3
720971358	Existing Customer	59	M	0	High School	Single	$80K - $120K	Blue	47	5	3	3	26812	1491	25321	14838	19495	4
720973833	Existing Customer	49	M	2	Graduate	Divorced	$60K - $80K	Blue	36	5	3	2	4596	0	4596	2872	19496	1
720977358	Existing Customer	50	F	2	Unknown	Single	Less than $40K	Blue	36	3	2	2	2528	1689	839	4269	19049	3
720980958	Existing Customer	43	F	5	Uneducated	Married	Less than $40K	Blue	30	1	3	2	3092	909	2183	4797	19048	5
720983733	Attrited Customer	44	M	3	Unknown	Single	$60K - $80K	Blue	36	2	3	3	15422	864	14558	2136	19047	7
720986958	Existing Customer	50	F	2	Graduate	Divorced	$40K - $60K	Blue	40	6	2	5	8307	2517	5790	2293	19046	1
720988083	Existing Customer	45	F	1	Uneducated	Married	Less than $40K	Blue	35	3	3	2	1438.3	1080	358.3	4425	19044	3
720989133	Existing Customer	41	F	2	College	Married	Less than $40K	Blue	36	2	1	2	1654	1093	561	4596	19043	2
720990183	Attrited Customer	54	M	5	High School	Married	$60K - $80K	Blue	36	5	2	3	14539	0	14539	965	19041	0
720991833	Attrited Customer	48	F	2	Doctorate	Married	Less than $40K	Blue	36	4	3	4	2514	2090	424	2603	19040	4
720992883	Existing Customer	47	F	4	Graduate	Married	Less than $40K	Blue	37	4	3	3	3189	1863	1326	4805	17321	7
720995583	Existing Customer	48	M	2	Graduate	Divorced	$60K - $80K	Silver	33	3	2	2	25217	1754	23463	15054	19525	6
720997383	Attrited Customer	52	M	1	Uneducated	Married	$80K - $120K	Blue	36	2	3	3	1857	1833	24	829	19415	3
720998358	Existing Customer	52	M	0	High School	Married	$120K +	Silver	41	3	3	1	34516	1043	33473	1489	19353	5
721000833	Existing Customer	49	M	0	Uneducated	Married	$60K - $80K	Blue	38	1	3	2	3599	0	3599	13324	19352	5
721001883	Existing Customer	41	M	3	Uneducated	Married	$60K - $80K	Blue	30	3	1	2	1950	1618	332	3357	19351	1
721003008	Attrited Customer	36	F	4	Graduate	Married	Less than $40K	Blue	24	3	2	2	3261	2517	744	856	19350	4
721004133	Existing Customer	38	F	2	Graduate	Single	Less than $40K	Blue	25	6	2	2	1438.3	538	900.3	4093	19357	5
721005108	Existing Customer	41	M	0	College	Married	$40K - $60K	Blue	29	3	2	2	6991	1384	5607	14994	19355	1
721006458	Existing Customer	42	M	2	Unknown	Single	$120K +	Blue	35	2	1	3	3214	1471	1743	14557	19354	5
721008933	Existing Customer	44	F	2	Graduate	Divorced	$40K - $60K	Blue	36	1	1	2	3107	1995	1112	7535	19358	0
721011858	Existing Customer	63	M	1	Graduate	Unknown	Less than $40K	Blue	52	6	3	3	1438.3	0	1438.3	3913	17509	4
721012983	Existing Customer	46	M	3	Doctorate	Married	$80K - $120K	Blue	38	6	1	2	12935	1417	11518	3528	19340	1
721014858	Existing Customer	61	F	0	Graduate	Married	Less than $40K	Blue	53	4	1	2	2942	2022	920	1479	19342	7
721017333	Existing Customer	42	F	4	Post-Graduate	Married	Less than $40K	Blue	36	4	2	3	3188	2002	1186	4606	19128	3
721020858	Existing Customer	34	F	1	College	Single	Unknown	Blue	20	2	2	2	3190	1959	1231	4220	19129	4
721022433	Existing Customer	44	M	2	Doctorate	Single	$60K - $80K	Blue	36	5	1	2	7577	2480	5097	1409	19120	0
721023708	Existing Customer	47	M	4	Uneducated	Married	$60K - $80K	Blue	36	3	3	3	17557	0	17557	2142	19121	2
721026033	Existing Customer	57	F	1	Unknown	Single	Less than $40K	Blue	44	4	3	2	2564	1258	1306	2673	19122	0
721027083	Existing Customer	47	F	4	Post-Graduate	Single	Unknown	Blue	36	6	1	0	3054	1862	1192	3543	19123	1
721028283	Existing Customer	40	F	4	High School	Married	$40K - $60K	Blue	28	4	1	3	11494	1160	10334	3353	19124	8
721029858	Existing Customer	52	F	3	Graduate	Single	Less than $40K	Blue	36	2	1	2	2166	1458	708	8215	19125	1
721032633	Attrited Customer	55	F	3	Unknown	Single	$40K - $60K	Blue	32	5	3	4	2496	1999	497	2590	19126	4
721033908	Existing Customer	58	M	1	Uneducated	Single	$60K - $80K	Blue	46	6	3	1	2541	1053	1488	4552	19127	10
721036233	Existing Customer	61	M	0	High School	Married	$60K - $80K	Blue	36	4	3	3	9172	1567	7605	1836	19098	8
721038408	Existing Customer	38	F	2	High School	Married	Less than $40K	Blue	27	4	1	2	1830	0	1830	1741	19099	3
721039308	Existing Customer	40	M	4	Uneducated	Single	$80K - $120K	Blue	36	4	3	2	32431	850	31581	4400	19094	9
721041483	Attrited Customer	45	M	4	Doctorate	Married	$60K - $80K	Blue	37	1	2	2	13093	2517	10576	2032	19095	6
721043058	Existing Customer	58	M	4	Unknown	Married	$60K - $80K	Blue	44	5	1	3	12010	2149	9861	1700	19096	5
721044333	Existing Customer	34	F	2	College	Single	Less than $40K	Blue	22	5	2	0	1695	761	934	4905	19090	4
721045608	Existing Customer	51	F	3	High School	Married	Less than $40K	Blue	32	6	3	3	2943	2131	812	4554	19091	9
721049658	Existing Customer	53	M	3	Graduate	Single	$80K - $120K	Blue	34	6	3	0	2506	0	2506	1687	18951	7
721051908	Existing Customer	45	M	3	Graduate	Single	$60K - $80K	Blue	33	3	1	3	7552	0	7552	1393	18956	6
721053633	Existing Customer	45	M	2	College	Single	$40K - $60K	Blue	31	2	2	1	6530	1425	5105	8904	18957	6
721055058	Existing Customer	36	M	2	Uneducated	Married	$60K - $80K	Blue	21	4	1	5	12763	2517	10246	2599	18954	7
721057758	Existing Customer	61	F	1	Unknown	Married	Unknown	Blue	47	4	2	3	1438.3	0	1438.3	1449	18958	8
721059033	Existing Customer	48	F	3	High School	Divorced	$40K - $60K	Blue	40	4	1	2	1919	774	1145	1505	19316	9
721060083	Existing Customer	42	F	3	College	Married	Unknown	Blue	27	1	1	1	7226	1889	5337	4653	19014	5
721062408	Existing Customer	54	M	2	Uneducated	Divorced	$40K - $60K	Blue	34	4	3	4	6387	1597	4790	1294	19015	7
721063533	Existing Customer	51	M	2	Graduate	Single	$40K - $60K	Blue	41	1	3	3	3062	2058	1004	7289	19016	2
721067658	Existing Customer	40	M	4	Graduate	Married	$60K - $80K	Silver	36	6	1	3	27436	642	26794	4051	19017	5
721072908	Existing Customer	51	M	0	Doctorate	Single	$60K - $80K	Blue	36	6	2	3	3232	1346	1886	5102	19010	7
721074183	Existing Customer	49	M	1	Doctorate	Married	$60K - $80K	Blue	36	4	6	3	24159	1196	22963	1111	19012	0
721080183	Existing Customer	33	F	1	Graduate	Single	$40K - $60K	Blue	20	2	2	3	4883	0	4883	4613	19013	7
721083258	Existing Customer	37	F	4	High School	Divorced	$40K - $60K	Blue	22	5	1	3	2563	1638	925	2064	19018	6
721084833	Existing Customer	48	M	5	High School	Married	$40K - $60K	Silver	34	5	0	2	17657	2018	15639	1682	19019	1
721086483	Existing Customer	27	F	0	Uneducated	Single	Less than $40K	Silver	19	3	3	3	10982	2517	8465	13563	17314	3
721091583	Existing Customer	44	F	2	Graduate	Single	Less than $40K	Blue	32	3	3	3	3031	1879	1152	1298	18931	7
721092783	Existing Customer	46	M	3	Graduate	Married	$80K - $120K	Blue	36	6	3	1	19838	1290	18548	3982	19191	5
721093608	Existing Customer	44	M	2	High School	Single	$40K - $60K	Blue	31	5	1	1	2197	0	2197	4548	19190	5
721096983	Existing Customer	34	F	2	Graduate	Single	Less than $40K	Blue	36	4	3	4	3625	2517	1108	2616	19193	2
721104708	Attrited Customer	41	F	3	Post-Graduate	Single	Less than $40K	Blue	36	1	3	1	2067	1966	101	3033	19192	6
721106133	Existing Customer	57	F	3	Uneducated	Divorced	Unknown	Blue	36	3	4	1	2312	1789	523	5104	19195	2
721107258	Existing Customer	45	F	5	Unknown	Unknown	Less than $40K	Blue	37	2	2	2	5465	1967	3498	14192	19194	8
721109358	Existing Customer	39	M	3	High School	Married	$60K - $80K	Blue	27	6	2	1	2583	0	2583	4162	19197	1
721111233	Existing Customer	52	M	2	Graduate	Married	$80K - $120K	Blue	43	6	3	3	11964	800	11164	4853	19196	10
721112508	Existing Customer	48	F	3	Graduate	Married	Less than $40K	Blue	40	2	3	1	5298	0	5298	4834	19421	6
721113333	Existing Customer	54	F	0	Graduate	Married	Less than $40K	Blue	36	1	2	3	1740	0	1740	4751	19420	5
721114458	Existing Customer	46	M	4	College	Single	$120K +	Blue	36	1	2	2	34516	585	33931	14319	19423	6
721115733	Existing Customer	47	M	3	Unknown	Married	$60K - $80K	Blue	36	5	3	2	1591	894	697	3698	19422	9
721117533	Existing Customer	46	F	3	Graduate	Single	Less than $40K	Blue	26	3	3	3	2171	1418	753	1415	19425	6
721120008	Existing Customer	43	F	2	Uneducated	Single	$40K - $60K	Blue	29	6	3	2	2162	1377	785	1555	19424	2
721121283	Existing Customer	37	F	2	Graduate	Single	$40K - $60K	Blue	24	4	1	4	2573	1280	1293	4289	19426	3
721122258	Existing Customer	38	F	3	Uneducated	Married	$40K - $60K	Blue	36	5	5	3	5293	1030	4263	4377	19429	5
721124658	Attrited Customer	40	M	3	Uneducated	Single	$80K - $120K	Blue	27	4	2	3	3427	0	3427	2625	19428	3
721126833	Attrited Customer	51	M	2	High School	Married	$80K - $120K	Blue	41	5	2	3	14902	0	14902	2038	17536	7
721129383	Existing Customer	53	F	1	Doctorate	Married	Less than $40K	Blue	36	3	1	2	3128	2517	611	2361	17532	1
721132233	Existing Customer	42	F	4	Uneducated	Married	Less than $40K	Blue	31	2	2	2	2410	1769	641	1217	19111	8
721137558	Attrited Customer	40	M	4	Graduate	Divorced	$40K - $60K	Blue	28	1	2	3	5821	894	4927	2011	19110	8
721139808	Existing Customer	42	F	3	Graduate	Single	Less than $40K	Blue	36	1	2	1	2344	1081	1263	3889	19113	1
721143258	Existing Customer	46	M	1	High School	Single	$40K - $60K	Blue	33	6	4	3	1664	798	866	4804	19112	3
721144383	Existing Customer	42	M	4	Graduate	Married	$60K - $80K	Silver	28	5	1	2	28202	843	27359	1629	19115	5
721145433	Existing Customer	52	F	5	High School	Single	Less than $40K	Silver	36	3	2	2	11280	1523	9757	16237	19114	5
721147383	Existing Customer	37	F	2	High School	Single	Less than $40K	Blue	22	4	2	4	2448	1740	708	4087	19116	0
721148358	Existing Customer	49	F	3	Uneducated	Single	Unknown	Blue	38	6	2	1	12860	0	12860	1348	19119	1
721150833	Existing Customer	37	M	1	Graduate	Single	$80K - $120K	Blue	18	6	2	5	5110	1942	3168	3028	19118	3
721154208	Existing Customer	60	F	1	Unknown	Married	Less than $40K	Blue	36	3	4	3	2882	2081	801	4933	19301	7
721156758	Existing Customer	52	M	3	Graduate	Married	$60K - $80K	Blue	44	1	2	1	23889	603	23286	13360	18929	6
721158108	Existing Customer	38	M	2	Graduate	Single	$60K - $80K	Blue	30	3	2	4	2346	0	2346	3982	18928	7
721163133	Existing Customer	44	M	2	Graduate	Single	Unknown	Blue	36	6	3	1	28292	0	28292	3948	18923	6
721164483	Existing Customer	46	F	2	College	Married	$40K - $60K	Blue	34	2	1	3	1441	642	799	4894	18922	6
721165608	Existing Customer	51	M	2	Graduate	Married	$60K - $80K	Silver	36	3	6	3	26142	0	26142	3969	18926	5
721167783	Existing Customer	54	M	4	High School	Single	$80K - $120K	Blue	39	1	3	3	7773	2465	5308	4272	18925	3
721169883	Existing Customer	41	M	5	College	Married	$60K - $80K	Blue	31	1	3	2	5002	1945	3057	16161	19380	3
721171008	Existing Customer	31	F	1	Unknown	Married	Less than $40K	Silver	36	2	3	1	10353	1520	8833	15028	19381	5
721173183	Existing Customer	57	F	2	Uneducated	Married	Unknown	Blue	43	2	1	2	2363	1876	487	4984	19382	7
721174008	Existing Customer	37	M	2	Uneducated	Married	$120K +	Blue	23	4	3	3	7607	2170	5437	4495	19383	1
721175283	Existing Customer	59	F	1	Graduate	Married	Less than $40K	Blue	36	3	1	1	2697	1410	1287	4489	19039	5
721178583	Attrited Customer	37	F	3	Graduate	Unknown	Unknown	Blue	22	2	3	2	5674	0	5674	1096	19036	2
721179708	Existing Customer	48	F	2	Unknown	Married	Less than $40K	Blue	37	4	2	3	5758	0	5758	4422	19037	3
721181883	Existing Customer	30	F	0	College	Single	Unknown	Blue	18	4	2	3	9641	0	9641	4710	19031	4
721183983	Existing Customer	48	M	4	High School	Married	$120K +	Blue	31	6	3	1	34516	1013	33503	1222	19029	6
721188033	Existing Customer	48	M	5	College	Married	Less than $40K	Blue	39	2	3	1	6797	2239	4558	16171	19028	5
721189008	Existing Customer	41	M	4	Graduate	Married	$80K - $120K	Blue	27	4	2	4	12270	0	12270	4578	19025	7
721190358	Existing Customer	49	M	4	Unknown	Unknown	$80K - $120K	Blue	29	2	2	2	29690	2517	27173	7640	19027	6
721194858	Existing Customer	48	M	4	Graduate	Unknown	$80K - $120K	Blue	40	6	2	2	4438	2472	1966	1725	19021	1
721202058	Existing Customer	62	F	0	High School	Unknown	$40K - $60K	Blue	49	4	1	1	4409	785	3624	4160	19020	3
721205508	Existing Customer	47	M	4	High School	Married	$80K - $120K	Blue	36	3	3	4	8217	0	8217	1848	19023	4
721207908	Existing Customer	47	F	5	High School	Single	Less than $40K	Blue	37	5	2	3	1493	0	1493	4655	19022	2
721210158	Existing Customer	29	M	2	College	Married	$40K - $60K	Blue	17	3	1	3	4626	1232	3394	14740	18979	8
721211433	Existing Customer	42	M	4	Doctorate	Single	$60K - $80K	Blue	31	2	2	2	3322	0	3322	13784	19478	1
721212258	Existing Customer	48	M	4	High School	Single	$120K +	Blue	40	2	3	3	30210	1946	28264	7403	19477	7
721213833	Existing Customer	46	F	2	High School	Unknown	Unknown	Blue	32	4	1	3	7966	1423	6543	3780	19474	10
721217283	Existing Customer	27	M	0	Graduate	Single	$120K +	Blue	17	6	2	2	8713	1354	7359	2094	19475	10
721218408	Existing Customer	53	M	4	High School	Married	$120K +	Blue	41	6	3	4	3401	1713	1688	1924	19473	5
721220583	Existing Customer	54	F	2	Graduate	Married	$40K - $60K	Blue	41	3	1	3	7362	1176	6186	17390	19148	8
721221783	Existing Customer	62	M	2	Graduate	Single	Less than $40K	Blue	48	6	3	2	5844	2013	3831	3546	19149	8
721222833	Existing Customer	51	F	3	Graduate	Married	$40K - $60K	Blue	36	3	3	3	1565	944	621	4798	19146	7
721225083	Existing Customer	54	F	2	Unknown	Divorced	Less than $40K	Blue	36	1	2	1	8758	1511	7247	7680	19147	1
721227258	Existing Customer	51	M	1	Post-Graduate	Married	$120K +	Silver	31	2	5	2	34516	1991	32525	7520	19144	4
721228308	Attrited Customer	47	F	2	High School	Married	Less than $40K	Blue	39	5	3	3	3899	0	3899	2182	19145	5
721232058	Existing Customer	49	M	1	Graduate	Unknown	$40K - $60K	Silver	41	6	1	3	20231	977	19254	1215	19142	4
721233033	Attrited Customer	50	M	2	High School	Single	$80K - $120K	Blue	38	1	2	3	4915	464	4451	1474	19143	5
721234308	Existing Customer	35	F	2	Uneducated	Married	Less than $40K	Blue	21	6	2	3	5825	1815	4010	2820	19140	4
721236408	Existing Customer	38	M	2	Graduate	Married	$80K - $120K	Blue	29	5	3	3	7535	2517	5018	1655	19141	1
721238508	Existing Customer	38	F	3	High School	Single	Less than $40K	Blue	26	3	3	3	1939	1484	455	4790	19339	4
721241583	Existing Customer	48	F	3	Graduate	Married	Less than $40K	Blue	43	5	3	2	2109	1205	904	2935	19331	7
721243083	Attrited Customer	55	M	3	Uneducated	Divorced	$80K - $120K	Blue	41	1	3	4	34516	2408	32108	1187	19330	8
721246833	Existing Customer	47	F	3	Unknown	Unknown	Less than $40K	Blue	36	6	2	3	1953	1089	864	4636	19335	3
721247883	Existing Customer	52	M	2	College	Married	$80K - $120K	Blue	41	4	2	3	16207	922	15285	3621	17563	8
721249158	Attrited Customer	42	M	2	Uneducated	Single	$60K - $80K	Blue	30	2	2	3	6414	0	6414	708	17565	5
721250358	Existing Customer	50	M	2	Unknown	Married	$40K - $60K	Blue	36	3	1	3	5426	1478	3948	1266	19033	9
721252683	Existing Customer	40	M	5	Unknown	Married	$80K - $120K	Blue	33	4	2	4	34516	1501	33015	3368	19244	10
721253508	Existing Customer	40	M	3	High School	Married	$80K - $120K	Blue	36	6	3	1	9599	2356	7243	4754	18971	3
721254858	Existing Customer	42	F	5	Graduate	Married	Less than $40K	Blue	18	6	1	1	1694	1074	620	3857	18974	0
721256808	Existing Customer	35	F	2	Unknown	Single	Less than $40K	Blue	20	6	1	2	2691	1935	756	4365	18976	8
721258158	Existing Customer	65	F	1	Uneducated	Single	Unknown	Blue	51	3	3	5	11037	1491	9546	2429	18977	2
721264533	Existing Customer	49	F	3	Unknown	Married	Less than $40K	Blue	36	1	1	3	3767	1106	2661	15578	19486	5
721265883	Existing Customer	26	M	1	Graduate	Single	Less than $40K	Blue	13	3	3	2	2174	1514	660	2510	19484	8
721268133	Existing Customer	44	M	3	Post-Graduate	Married	$40K - $60K	Blue	36	5	2	2	11366	2109	9257	3495	19482	8
721269108	Existing Customer	45	F	5	Graduate	Single	Less than $40K	Blue	33	5	3	3	2288	1249	1039	4504	19481	1
721273008	Attrited Customer	54	F	1	College	Unknown	Less than $40K	Silver	43	6	3	4	10797	1252	9545	1739	19480	4
721274208	Attrited Customer	41	F	2	High School	Single	Less than $40K	Blue	36	4	3	3	2201	2104	97	2408	19072	8
721276383	Existing Customer	47	F	2	Post-Graduate	Divorced	$40K - $60K	Blue	33	6	2	3	5624	1216	4408	3843	19073	7
721279083	Existing Customer	53	M	4	Graduate	Single	$80K - $120K	Blue	33	5	3	3	5376	1177	4199	1840	19070	5
721282908	Existing Customer	44	F	4	Graduate	Married	$40K - $60K	Blue	29	3	1	2	1438.3	0	1438.3	3971	19076	5
721284258	Existing Customer	53	M	2	Unknown	Married	$80K - $120K	Blue	44	4	1	3	7181	2517	4664	1636	19074	3
721287183	Existing Customer	49	F	2	Uneducated	Married	Less than $40K	Blue	35	5	2	3	2081	0	2081	4863	19075	8
721288158	Existing Customer	33	M	2	Unknown	Single	$120K +	Blue	15	4	2	2	25033	2300	22733	2529	19078	3
721290708	Existing Customer	50	M	1	Uneducated	Single	$60K - $80K	Blue	30	1	3	2	14217	1816	12401	15554	19079	7
721294533	Existing Customer	48	M	4	Graduate	Married	$80K - $120K	Blue	34	1	1	1	34516	738	33778	15143	19317	6
721295658	Existing Customer	62	M	1	Unknown	Single	$80K - $120K	Blue	55	6	1	4	34516	2517	31999	3975	19409	7
721299483	Existing Customer	47	M	3	Graduate	Single	$80K - $120K	Blue	32	2	1	1	11671	1304	10367	4168	19408	8
721301733	Existing Customer	53	M	1	Graduate	Married	$80K - $120K	Blue	38	6	3	2	22140	733	21407	1580	19407	8
721304133	Existing Customer	36	F	4	High School	Married	Less than $40K	Blue	36	4	1	3	4277	1578	2699	1855	19406	5
721305408	Existing Customer	48	F	2	Graduate	Married	Less than $40K	Blue	37	4	2	1	3378	0	3378	4761	19405	9
721306908	Existing Customer	61	F	1	Graduate	Single	Unknown	Blue	44	4	3	2	2303	540	1763	3440	19404	9
721308033	Attrited Customer	45	F	2	Post-Graduate	Single	Less than $40K	Blue	37	3	3	1	3036	2517	519	2609	19403	2
721310283	Existing Customer	47	M	3	Graduate	Single	$120K +	Blue	36	6	2	4	34516	933	33583	1804	19401	3
721311333	Existing Customer	32	M	1	High School	Married	Unknown	Blue	22	3	1	4	16912	1590	15322	2413	19366	1
721313808	Existing Customer	50	M	1	Doctorate	Single	$80K - $120K	Blue	41	6	1	2	2826	1741	1085	4488	19365	6
721315233	Existing Customer	47	M	4	High School	Single	$40K - $60K	Silver	32	3	3	4	18535	1192	17343	3780	19362	3
721316358	Existing Customer	41	M	3	High School	Married	$60K - $80K	Blue	28	5	1	1	9577	632	8945	4086	19363	10
721317333	Existing Customer	40	F	4	Post-Graduate	Single	$40K - $60K	Blue	31	4	2	1	2383	1828	555	4759	19360	7
721321383	Existing Customer	50	F	3	Doctorate	Married	Less than $40K	Blue	41	3	3	2	2372	1148	1224	4418	19369	7
721325133	Existing Customer	45	M	2	College	Married	$80K - $120K	Blue	36	6	1	3	31625	0	31625	4503	17518	8
721332033	Existing Customer	42	M	2	Unknown	Single	$80K - $120K	Blue	30	4	2	1	29195	892	28303	4411	19139	3
721333233	Existing Customer	40	M	4	Doctorate	Divorced	$60K - $80K	Blue	34	4	2	3	23138	1727	21411	1612	19138	5
721335558	Existing Customer	57	F	2	Graduate	Single	Less than $40K	Blue	36	1	2	3	6482	1686	4796	7544	19137	0
721338783	Existing Customer	49	F	4	Uneducated	Married	Unknown	Blue	36	3	2	3	13483	2517	10966	3427	19136	8
721342383	Existing Customer	39	M	2	Graduate	Married	$80K - $120K	Blue	34	6	3	2	17438	0	17438	1860	19135	7
721344858	Existing Customer	26	M	0	Uneducated	Single	Less than $40K	Blue	13	4	4	4	2237	451	1786	2192	19134	0
721347408	Existing Customer	55	F	1	High School	Single	Less than $40K	Blue	43	4	2	0	2569	1403	1166	1456	19133	2
721349883	Existing Customer	51	F	4	Graduate	Single	Less than $40K	Blue	39	3	2	1	2847	2082	765	3672	19132	3
721350783	Existing Customer	54	M	2	High School	Married	$80K - $120K	Blue	38	6	3	4	5660	2006	3654	1569	19131	4
721351983	Attrited Customer	43	F	4	Uneducated	Married	Less than $40K	Blue	36	5	3	3	3492	2517	975	2510	19130	0
721359183	Existing Customer	33	F	2	Unknown	Married	$40K - $60K	Blue	19	4	3	4	2907	1537	1370	4390	19026	3
721361433	Existing Customer	51	F	3	Graduate	Married	Unknown	Blue	37	6	1	1	4502	1785	2717	4469	19083	10
721365033	Attrited Customer	37	M	3	Uneducated	Single	$40K - $60K	Blue	36	3	2	4	1696	0	1696	2095	19082	4
721366308	Existing Customer	50	M	3	Unknown	Single	$40K - $60K	Blue	39	4	3	1	13509	2060	11449	3702	19081	5
721374033	Existing Customer	53	F	1	High School	Married	$40K - $60K	Blue	39	2	3	3	2164	1115	1049	4341	19080	2
721375308	Existing Customer	48	M	3	High School	Married	$80K - $120K	Blue	36	5	1	3	30579	1351	29228	1289	19087	4
721378008	Existing Customer	31	M	0	Uneducated	Divorced	$40K - $60K	Blue	21	6	2	2	2621	1461	1160	2718	19086	7
721379433	Existing Customer	44	M	4	Graduate	Married	$60K - $80K	Blue	28	6	2	3	11338	0	11338	1227	19085	3
721382208	Existing Customer	38	F	2	High School	Married	$40K - $60K	Blue	27	2	1	2	3140	2517	623	13677	18963	5
721384308	Existing Customer	39	F	1	Uneducated	Married	$40K - $60K	Blue	36	4	1	4	3272	2323	949	4763	18940	2
721385433	Existing Customer	64	M	0	Unknown	Married	Less than $40K	Blue	51	3	3	4	2787	1201	1586	1662	18943	8
721387008	Existing Customer	42	M	4	Graduate	Married	$120K +	Blue	24	3	2	3	3103	1783	1320	4792	18942	8
721388283	Existing Customer	54	M	2	Post-Graduate	Single	$120K +	Blue	45	3	1	4	5597	0	5597	4844	18944	8
721393083	Existing Customer	52	F	3	Unknown	Single	$40K - $60K	Blue	45	5	3	1	6053	577	5476	5035	18947	9
721395633	Existing Customer	53	M	1	Graduate	Single	$80K - $120K	Blue	41	5	3	3	18591	994	17597	15063	18949	10
721396758	Existing Customer	35	F	4	Doctorate	Married	Less than $40K	Blue	36	3	1	3	1438.3	606	832.3	5062	19009	10
721397808	Existing Customer	32	M	0	High School	Married	$40K - $60K	Blue	24	5	2	0	3735	1176	2559	1564	19008	9
721398858	Existing Customer	43	M	2	Unknown	Single	$120K +	Blue	34	5	3	4	33913	0	33913	4160	19003	4
721399833	Existing Customer	43	F	2	High School	Married	$40K - $60K	Blue	34	3	1	3	2032	1008	1024	4736	19002	9
721402233	Existing Customer	42	M	3	Uneducated	Married	$120K +	Blue	28	2	3	1	19192	1507	17685	15615	19001	4
721406658	Attrited Customer	32	F	0	Unknown	Divorced	Less than $40K	Blue	36	6	3	3	1732	0	1732	2479	19007	0
721409358	Existing Customer	36	F	1	Uneducated	Single	Less than $40K	Blue	21	3	2	1	1937	733	1204	4547	19006	4
721410858	Existing Customer	54	F	4	High School	Single	Less than $40K	Blue	36	1	3	0	1921	1334	587	4512	19004	1
721412208	Existing Customer	57	F	2	High School	Married	Less than $40K	Blue	36	4	2	2	1438.3	904	534.3	3887	19367	2
721415658	Existing Customer	39	F	1	Graduate	Married	$40K - $60K	Blue	27	3	1	2	2700	2220	480	2901	19089	9
721417233	Attrited Customer	45	M	2	Graduate	Married	$60K - $80K	Blue	25	3	5	3	1438.3	0	1438.3	709	19454	8
721418133	Existing Customer	45	F	3	Graduate	Single	Less than $40K	Blue	33	6	2	3	2016	972	1044	4535	19455	2
721424583	Existing Customer	35	F	1	High School	Married	Less than $40K	Blue	26	4	2	3	1918	900	1018	4237	19456	9
721425558	Existing Customer	52	M	2	Graduate	Single	$120K +	Blue	37	2	3	2	14543	0	14543	1536	19457	1
721426383	Attrited Customer	36	F	3	Unknown	Single	Less than $40K	Blue	36	4	3	0	1558	261	1297	2424	19450	9
721427358	Attrited Customer	47	M	4	Unknown	Divorced	$80K - $120K	Blue	28	6	1	3	8757	0	8757	2108	19451	4
721428333	Existing Customer	47	F	3	Unknown	Unknown	Less than $40K	Blue	34	4	2	1	8109	541	7568	3609	19453	3
721433283	Existing Customer	39	F	1	High School	Single	$40K - $60K	Blue	20	3	2	2	9956	1117	8839	1447	19160	3
721434483	Existing Customer	54	M	3	Graduate	Married	$80K - $120K	Blue	46	4	3	2	2798	1256	1542	2631	19161	3
721437333	Attrited Customer	46	M	2	Graduate	Single	$80K - $120K	Blue	36	2	2	2	5054	2517	2537	2027	19162	10
